name,overall,potential,value_million_euro,position,nationality,age,height,team,formation,league,wage_million_euro,preferred_foot,weak_foot_rating,skill_moves,attacking_work_rate,defensive_work_rate,pace_total,shooting_total,passing_total,dribbling_total,defending_total,physicality_total,finishing,heading_accuracy,dribbling,ball_control,balance,shot_power,strength,long_shots,aggression,positioning,vision,penalties,mentality,goalkeeper_diving,goalkeeper_handling,goalkeeper_kicking,goalkeeper_positioning,goalkeeper_reflexes,passing,speed
Sven Michel,73,73,2.6,Forward,Germany,31,177,Union Berlin,3-5-2,de Bundesliga,1.352,0,3,3,2,1,74,74,66,74,34,73,76,54,74,74,74,78,72,69,68,75,64,63,67,0,0,0,0,0,63.0,74.0
Phil Jones,73,73,2.5,Defender,England,30,185,Manchester United,4-2-3-1,eng Premier League,3.328,1,3,2,0,2,37,50,60,55,74,66,44,76,55,54,48,68,75,49,86,42,54,50,60,0,0,0,0,0,67.5,37.5
Juan Cruz Álvaro Armada,73,73,2.5,Defender,Spain,29,180,Osasuna,4-4-2,es La Liga,1.092,0,3,2,1,2,73,40,63,64,73,72,34,67,58,72,54,57,70,39,71,35,45,48,54,0,0,0,0,0,71.0,73.0
Wesley Saïd,73,73,3.3,Forward,France,27,171,Lens,3-4-2-1,fr Ligue 1,1.404,1,3,4,1,0,74,73,67,76,29,58,75,64,76,73,84,74,60,72,44,76,69,60,73,0,0,0,0,0,68.0,74.0
Aleix García Serrano,73,77,4.2,Midfielder,Spain,25,173,Girona,3-5-2,es La Liga,1.04,1,3,3,1,1,65,69,72,75,64,63,70,51,73,76,85,72,62,72,60,67,75,54,74,0,0,0,0,0,76.5,65.0
Charalampos Lykogiannis,73,73,2.8,Full Back,Greece,28,190,Bologna,4-2-3-1,it Serie A,1.248,0,3,2,2,1,82,68,67,67,68,73,62,52,69,72,51,84,82,74,56,63,58,58,64,0,0,0,0,0,68.5,81.0
Patrick Pentz,73,78,3.6,Goalkeeper,Austria,25,182,Reims,4-2-3-1,fr Ligue 1,0.676,0,4,0,1,1,0,69,74,0,0,73,0,0,0,0,54,56,63,0,0,0,58,0,37,71,69,74,73,75,0.0,0.0
Ignatius Ganago,73,75,4.0,Forward,Cameroon,23,179,Nantes,4-2-3-1,fr Ligue 1,1.04,1,3,3,2,1,81,73,59,73,34,67,74,65,72,73,78,79,75,69,48,73,48,66,70,0,0,0,0,0,60.5,81.0
Pathé Ciss,73,73,2.7,Midfielder,Senegal,28,185,Rayo Vallecano,4-4-2,es La Liga,0.832,1,3,2,0,2,63,56,61,62,71,82,55,75,60,67,58,70,81,51,78,64,60,40,60,0,0,0,0,0,70.5,63.0
Rubén Sobrino Pozuelo,73,73,3.0,Forward,Spain,30,185,Cadiz,4-4-2,es La Liga,1.3,1,4,3,2,1,77,73,63,74,37,64,73,75,77,75,61,75,67,73,68,71,62,66,65,0,0,0,0,0,60.0,76.5
Arnaud Nordin,73,78,4.6,Midfielder,France,24,170,Montpellier,4-3-3,fr Ligue 1,0.884,0,4,3,1,1,83,69,68,75,37,57,70,67,76,75,80,74,64,69,31,71,70,55,66,0,0,0,0,0,69.0,83.0
Matteo Lovato,73,82,6.5,Defender,Italy,22,188,Salernitana,3-5-2,it Serie A,0.884,1,3,2,1,1,70,30,52,60,75,72,24,68,59,62,49,40,79,30,67,30,48,45,64,0,0,0,0,0,60.0,70.0
Loïc Badé,73,81,6.5,Defender,France,22,191,Nott'ham Forest,4-2-3-1,eng Premier League,1.352,1,3,2,1,2,57,33,54,62,73,77,25,72,58,71,41,59,84,25,71,33,57,33,73,0,0,0,0,0,64.5,56.5
Manuel Morlanes Ariño,73,80,5.5,Midfielder,Spain,23,178,Villarreal,4-4-2,es La Liga,0.988,1,3,3,1,1,68,64,74,73,69,67,64,55,72,74,73,66,65,65,66,60,75,68,73,0,0,0,0,0,77.0,68.5
Wuilker Faríñez,73,78,3.7,Goalkeeper,Venezuela,24,180,Lens,3-4-2-1,fr Ligue 1,0.78,1,3,0,1,1,0,70,67,0,0,74,0,0,0,0,65,50,51,0,0,0,66,0,45,74,70,67,74,76,0.0,0.0
Aster Vranckx,73,82,6.5,Midfielder,Belgium,19,183,AC Milan,4-2-3-1,it Serie A,0.936,1,5,3,2,2,63,65,70,77,63,75,63,62,79,78,74,77,75,66,77,70,67,41,71,0,0,0,0,0,74.0,63.5
Lucas Höler,73,73,3.3,Forward,Germany,27,184,Freiburg,3-4-3,de Bundesliga,1.248,1,2,2,1,2,71,73,51,62,51,79,77,77,61,59,64,78,80,64,72,79,54,57,59,0,0,0,0,0,51.0,71.0
Ryan Yates,73,79,4.4,Midfielder,England,24,190,Nott'ham Forest,4-2-3-1,eng Premier League,1.82,1,3,2,2,2,65,59,60,64,71,84,60,75,62,68,55,61,80,56,86,58,60,55,62,0,0,0,0,0,69.0,65.0
Pavao Pervan,73,73,0.525,Goalkeeper,Austria,34,194,Wolfsburg,4-2-3-1,de Bundesliga,1.248,1,4,0,1,1,0,73,69,0,0,70,0,0,0,0,33,52,54,0,0,0,34,0,30,72,73,69,70,75,0.0,0.0
Mattia Valoti,73,73,3.0,Midfielder,Italy,28,181,Monza,3-4-2-1,it Serie A,1.924,1,3,3,1,1,62,70,75,75,54,52,68,48,74,77,76,68,39,73,58,71,73,75,73,0,0,0,0,0,77.0,62.0
Tom Heaton,73,73,0.35,Goalkeeper,England,36,188,Manchester United,4-2-3-1,eng Premier League,1.768,1,3,0,1,1,0,73,71,0,0,75,0,0,0,0,52,53,66,0,0,0,46,0,60,71,73,71,75,73,0.0,0.0
Domagoj Bradarić,73,79,4.6,Full Back,Croatia,22,178,Salernitana,3-5-2,it Serie A,0.884,0,3,3,2,0,78,55,67,73,69,66,53,62,74,74,73,59,62,55,71,69,65,43,69,0,0,0,0,0,67.5,78.0
Tobias Sippel,73,73,0.525,Goalkeeper,Germany,34,183,Borussia M.Gladbach,4-2-3-1,de Bundesliga,0.832,1,2,0,1,1,0,69,76,0,0,69,0,0,0,0,41,57,65,0,0,0,31,0,41,74,69,76,69,77,0.0,0.0
David Pereira Da Costa,73,81,7.0,Winger,Portugal,21,168,Lens,3-4-2-1,fr Ligue 1,1.04,0,3,3,2,0,72,65,66,80,33,43,68,34,81,78,84,56,39,73,43,66,67,48,76,0,0,0,0,0,66.0,72.5
Vanja Milinković-Savić,73,77,3.3,Goalkeeper,Serbia,25,202,Torino,3-4-2-1,it Serie A,1.144,1,3,0,1,1,0,71,78,0,0,74,0,0,0,0,38,59,73,0,0,0,58,0,65,73,71,78,74,73,0.0,0.0
Jeremy Toljan,73,73,2.9,Full Back,Germany,27,182,Sassuolo,4-2-3-1,it Serie A,1.196,1,4,3,1,1,86,42,63,69,66,67,39,49,68,71,70,49,65,38,62,56,48,39,58,0,0,0,0,0,66.5,85.5
Rodrigo Sánchez Rodríguez,73,84,7.0,Midfielder,Spain,22,168,Real Betis,4-2-3-1,es La Liga,0.832,0,4,3,2,1,71,71,69,76,38,48,75,48,77,76,81,73,43,73,56,69,71,50,65,0,0,0,0,0,73.5,71.5
Jack Stacey,73,75,3.5,Full Back,England,26,178,Bournemouth,4-2-3-1,eng Premier League,1.716,1,3,3,2,1,73,55,66,70,69,71,51,64,71,70,70,62,70,56,65,67,65,47,65,0,0,0,0,0,65.0,73.5
Gianluca Lapadula,73,73,2.5,Forward,Peru,32,178,Cagliari,3-5-2,it Serie A,0.26,0,3,3,2,0,76,72,59,74,24,67,76,72,72,74,79,74,61,61,81,78,60,71,70,0,0,0,0,0,55.0,75.5
Marcel Schuhen,73,73,2.1,Goalkeeper,Germany,29,188,Darmstadt 98,4-4-2,de Bundesliga,0.676,1,3,0,1,1,0,69,73,0,0,69,0,0,0,0,48,55,78,0,0,0,55,0,63,74,69,73,69,76,0.0,0.0
Paul Dummett,73,73,2.6,Full Back,Wales,30,183,Newcastle United,4-3-3,eng Premier League,2.704,0,2,2,1,1,62,40,63,67,75,69,41,71,65,70,74,42,70,35,72,56,52,43,64,0,0,0,0,0,69.0,62.5
Fabio Depaoli,73,76,3.7,Full Back,Italy,25,182,Hellas Verona,3-4-3,it Serie A,0.728,1,3,3,1,1,73,53,70,72,69,57,50,62,72,74,72,62,52,47,64,65,64,65,65,0,0,0,0,0,72.5,73.5
Daley Sinkgraven,73,74,3.3,Full Back,Netherlands,26,179,Bayer Leverkusen,4-2-3-1,de Bundesliga,1.664,0,3,3,2,1,74,60,72,76,69,63,58,67,76,77,78,63,54,59,73,70,72,56,68,0,0,0,0,0,73.0,74.5
Tino Kadewere,73,74,3.6,Winger,Zimbabwe,26,183,Mallorca,4-4-2,es La Liga,2.392,1,3,3,1,1,75,74,67,74,38,67,76,69,74,74,66,78,71,68,59,76,68,73,75,0,0,0,0,0,66.0,74.5
David Jason Remeseiro Salgueiro,73,73,3.2,Midfielder,Spain,27,178,Deportivo Alaves,4-4-2,es La Liga,0.572,1,4,3,2,1,70,71,71,72,49,63,71,62,73,72,67,75,62,69,63,73,71,68,69,0,0,0,0,0,70.0,70.5
Christophe Hérelle,73,73,2.5,Defender,France,29,188,Brest,4-4-2,fr Ligue 1,0.936,1,2,2,0,1,56,48,61,61,73,74,47,75,58,65,60,59,76,44,76,50,45,47,69,0,0,0,0,0,70.5,55.5
Elvis Rexhbeçaj,73,77,4.3,Midfielder,Kosovo,24,182,Augsburg,4-4-2,de Bundesliga,0.988,0,3,3,2,1,66,64,70,74,65,69,59,58,75,75,72,80,63,64,74,70,71,54,65,0,0,0,0,0,75.0,66.0
Flavius Daniliuc,73,79,4.4,Defender,Austria,21,188,Salernitana,3-5-2,it Serie A,0.728,1,4,2,0,1,55,42,61,60,74,75,39,77,59,66,47,56,81,38,73,49,58,31,72,0,0,0,0,0,70.0,54.5
Steve Mounié,73,74,3.6,Forward,Benin,27,190,Brest,4-4-2,fr Ligue 1,1.092,1,3,2,1,2,59,72,62,68,45,79,73,84,68,73,51,76,84,68,77,76,64,66,70,0,0,0,0,0,63.0,59.0
Pedro Mba Obiang Avomo,73,73,2.5,Midfielder,Equatorial Guinea,30,185,Sassuolo,4-2-3-1,it Serie A,1.196,1,3,3,1,1,56,59,70,70,74,71,50,68,70,72,63,73,72,65,70,60,69,59,75,0,0,0,0,0,72.0,56.0
Dominique Heintz,73,74,2.9,Defender,Germany,28,188,Bochum,4-4-2,de Bundesliga,1.196,0,3,2,1,1,54,37,59,58,73,78,23,73,58,62,48,49,86,56,77,45,61,41,68,0,0,0,0,0,65.5,53.5
Sebastiano Luperto,73,76,3.6,Defender,Italy,25,191,Empoli,3-5-2,it Serie A,1.612,0,3,2,0,1,58,55,60,59,75,68,45,75,56,63,61,72,70,68,69,52,51,44,62,0,0,0,0,0,62.5,57.5
Xavi Simons,73,86,7.0,Midfielder,Netherlands,19,179,Paris Saint-Germain,4-3-3,fr Ligue 1,0.416,1,3,3,1,2,77,63,71,77,55,63,62,44,75,77,82,66,58,62,74,72,76,63,75,0,0,0,0,0,71.0,77.0
José Ángel Pozo la Rosa,73,76,4.0,Midfielder,Spain,26,171,Rayo Vallecano,4-4-2,es La Liga,0.832,1,4,3,1,1,74,72,71,75,61,58,75,57,74,75,82,68,60,73,42,72,69,66,72,0,0,0,0,0,74.5,74.0
Rhys Healey,73,74,3.6,Forward,England,27,180,Toulouse,4-2-3-1,fr Ligue 1,0.884,1,3,3,2,2,76,75,61,71,30,62,79,74,69,73,74,75,65,69,33,74,52,72,72,0,0,0,0,0,60.5,76.0
Etrit Berisha,73,73,1.0,Goalkeeper,Albania,33,194,Torino,3-4-2-1,it Serie A,1.248,0,2,0,1,1,0,72,66,0,0,72,0,0,0,0,30,50,64,0,0,0,42,0,59,70,72,66,72,74,0.0,0.0
Jayden Bogle,73,81,6.5,Full Back,England,21,178,Sheffield United,4-2-3-1,eng Premier League,0.78,1,3,3,2,1,81,55,67,73,68,67,55,55,73,72,73,61,65,51,67,74,66,44,71,0,0,0,0,0,67.5,81.0
Marcin Bułka,73,80,5.5,Goalkeeper,Poland,22,199,Nice,4-4-2,fr Ligue 1,0.988,1,2,0,1,1,0,72,69,0,0,73,0,0,0,0,28,52,70,0,0,0,40,0,42,74,72,69,73,74,0.0,0.0
Jacek Góralski,73,73,2.6,Midfielder,Poland,29,172,Bochum,4-4-2,de Bundesliga,0.988,1,2,3,1,2,69,46,65,67,69,79,42,55,61,67,81,50,74,46,94,62,69,43,75,0,0,0,0,0,71.5,68.5
Óscar Mingueza García,73,81,6.5,Defender,Spain,23,184,Celta Vigo,3-4-3,es La Liga,0.728,1,3,2,1,1,76,35,65,64,74,74,22,73,59,69,62,61,73,35,72,57,55,32,66,0,0,0,0,0,72.0,75.5
Ilaix Moriba,73,82,6.5,Midfielder,Guinea,19,185,Valencia,4-4-2,es La Liga,1.04,1,4,4,1,1,70,71,64,74,64,64,74,59,77,75,59,73,62,72,58,67,68,49,70,0,0,0,0,0,75.5,69.5
Rafael Rogério da Silva,73,74,3.6,Winger,Brazil,26,183,Toulouse,4-2-3-1,fr Ligue 1,0.884,1,3,4,1,1,76,73,66,75,43,69,73,62,76,75,79,76,72,71,52,69,68,71,65,0,0,0,0,0,60.5,76.0
Jørgen Strand Larsen,73,82,7.0,Forward,Norway,22,193,Celta Vigo,3-4-3,es La Liga,0.936,1,3,3,2,0,77,72,56,67,32,82,75,74,67,68,60,74,85,66,72,75,64,58,72,0,0,0,0,0,55.5,77.0
Rúben Nascimento Vinagre,73,81,6.5,Full Back,Portugal,23,174,Everton,4-4-2,eng Premier League,0.468,0,2,4,2,1,86,55,70,77,64,63,52,54,78,75,82,64,58,48,63,70,71,58,70,0,0,0,0,0,67.5,86.0
Omar Marmoush,73,81,7.0,Forward,Egypt,23,183,Wolfsburg,4-2-3-1,de Bundesliga,1.612,1,3,4,2,0,85,70,63,79,29,66,72,66,80,76,80,68,64,72,64,72,69,67,67,0,0,0,0,0,62.0,85.0
Takuma Asano,73,73,3.2,Winger,Japan,27,173,Bochum,4-4-2,de Bundesliga,1.144,1,4,3,2,1,88,67,61,77,30,67,70,58,76,73,85,69,75,59,46,72,67,65,70,0,0,0,0,0,54.0,88.5
Federico Bonazzoli,73,77,4.3,Forward,Italy,25,182,Salernitana,3-5-2,it Serie A,1.144,0,3,3,2,1,70,74,55,72,28,60,75,70,74,74,54,76,69,68,43,76,48,70,66,0,0,0,0,0,59.0,70.0
Amath Ndiaye,73,74,3.6,Midfielder,Senegal,25,173,Mallorca,4-4-2,es La Liga,1.04,1,4,4,1,1,91,68,66,75,49,65,70,65,77,72,72,75,63,60,73,69,66,56,74,0,0,0,0,0,65.5,91.0
Kevin Lasagna,73,73,3.0,Forward,Italy,29,186,Hellas Verona,3-4-3,it Serie A,1.248,0,3,3,2,0,87,71,65,72,38,65,66,71,71,71,72,82,69,70,53,77,61,66,72,0,0,0,0,0,64.5,87.0
Kaan Ayhan,73,74,3.1,Defender,Turkey,27,184,Sassuolo,4-2-3-1,it Serie A,1.196,1,3,3,2,1,56,53,69,67,73,75,35,70,63,71,67,80,77,71,76,50,65,45,75,0,0,0,0,0,70.0,56.5
Juan Carlos Martín Corral,73,73,0.525,Goalkeeper,Spain,34,186,Girona,3-5-2,es La Liga,0.78,1,3,0,1,1,0,73,72,0,0,71,0,0,0,0,57,54,71,0,0,0,42,0,53,72,73,72,71,73,0.0,0.0
Miloš Veljković,73,75,3.3,Defender,Serbia,26,188,Werder Bremen,3-5-2,de Bundesliga,0.936,1,3,2,1,1,48,33,53,59,74,73,27,76,51,66,64,45,78,31,67,37,44,37,73,0,0,0,0,0,64.5,48.5
Frank Onyeka,73,78,4.2,Midfielder,Nigeria,24,183,Brentford,4-3-3,eng Premier League,1.456,1,3,3,2,2,81,57,64,70,71,80,60,63,68,70,75,61,79,49,76,67,68,48,70,0,0,0,0,0,69.0,80.5
Janik Haberer,73,73,3.0,Midfielder,Germany,28,186,Union Berlin,3-5-2,de Bundesliga,1.3,1,3,3,1,1,63,63,70,73,62,70,58,54,74,76,57,75,67,62,73,68,75,61,69,0,0,0,0,0,73.5,62.5
Sargis Adamyan,73,73,3.0,Forward,Armenia,29,184,FC Koln,4-2-3-1,de Bundesliga,1.3,1,3,4,2,1,80,73,65,76,34,70,77,63,78,75,73,72,68,69,66,74,69,60,65,0,0,0,0,0,65.5,80.5
Carlo Pinsoglio,73,73,1.5,Goalkeeper,Italy,32,194,Juventus,3-5-2,it Serie A,2.444,0,2,0,1,1,0,72,62,0,0,74,0,0,0,0,40,47,60,0,0,0,35,0,64,74,72,62,74,76,0.0,0.0
Rémi Oudin,73,75,3.8,Midfielder,France,25,186,Lecce,4-3-3,it Serie A,0.416,0,3,3,1,1,74,71,72,72,34,67,70,69,72,73,67,73,71,71,42,73,72,68,74,0,0,0,0,0,69.5,74.0
Kieffer Moore,73,73,3.0,Forward,Wales,29,196,Bournemouth,4-2-3-1,eng Premier League,2.08,1,3,3,1,1,70,70,56,67,46,80,73,84,68,71,50,76,90,58,73,73,54,67,68,0,0,0,0,0,56.5,69.5
Ermedin Demirović,73,78,4.7,Forward,Bosnia and Herzegovina,24,185,Augsburg,4-4-2,de Bundesliga,1.092,1,3,3,1,1,73,73,61,71,33,74,74,68,71,72,68,80,77,66,76,77,65,63,66,0,0,0,0,0,58.0,72.0
Marcus Vincius Oliveira Alencar,73,86,7.0,Midfielder,Brazil,19,174,Arsenal,4-2-3-1,eng Premier League,1.56,0,3,3,2,2,81,62,66,75,33,54,64,50,75,77,78,61,54,59,45,73,67,56,66,0,0,0,0,0,62.0,81.0
Oier Zarraga Egaña,73,80,6.0,Midfielder,Spain,23,175,Athletic Bilbao,4-4-2,es La Liga,0.936,1,3,3,2,1,77,65,72,75,61,67,69,58,75,74,80,58,67,70,56,68,69,54,67,0,0,0,0,0,77.0,77.0
Harvey Elliott,73,87,7.0,Midfielder,England,19,170,Liverpool,4-3-3,eng Premier League,1.924,0,4,4,1,1,78,62,71,78,37,42,64,40,77,77,87,60,33,62,32,67,76,59,70,0,0,0,0,0,70.5,78.5
Matthias Bader,73,75,3.5,Full Back,Germany,25,176,Darmstadt 98,4-4-2,de Bundesliga,0.78,1,3,3,2,2,79,34,61,70,68,68,26,48,69,70,77,45,62,38,65,47,50,40,66,0,0,0,0,0,60.0,78.5
Carles Aleñá Castillo,73,79,4.8,Midfielder,Spain,24,180,Getafe,5-3-2,es La Liga,0.988,0,2,4,1,1,68,67,74,73,59,59,66,34,71,75,70,68,62,73,55,70,77,73,79,0,0,0,0,0,77.0,68.5
Ronaël Pierre-Gabriel,73,77,4.099999,Full Back,France,24,177,Strasbourg,3-5-2,fr Ligue 1,0.884,1,3,3,1,1,73,48,61,69,71,71,41,64,69,69,71,57,72,53,65,58,54,56,65,0,0,0,0,0,63.0,72.5
Jacob Murphy,73,73,3.2,Midfielder,England,27,179,Newcastle United,4-3-3,eng Premier League,2.964,1,4,3,2,1,81,67,69,74,64,62,65,45,77,73,75,73,61,68,56,71,70,66,68,0,0,0,0,0,64.5,81.0
Filippo Bandinelli,73,74,3.5,Midfielder,Italy,27,180,Empoli,3-5-2,it Serie A,0.52,0,3,3,1,1,70,71,71,73,71,71,68,68,71,75,80,76,69,75,68,70,70,61,73,0,0,0,0,0,74.0,70.5
Gastón Pereiro,73,74,3.5,Midfielder,Uruguay,27,188,Cagliari,3-5-2,it Serie A,0.26,0,3,3,1,0,73,74,71,76,40,68,71,74,78,80,56,81,74,75,57,72,72,72,71,0,0,0,0,0,69.5,72.5
Benson Manuel,73,76,4.0,Winger,Belgium,25,166,Burnley,4-4-2,eng Premier League,1.82,0,4,4,2,1,82,66,69,79,35,62,65,48,80,76,84,67,65,71,41,64,69,57,72,0,0,0,0,0,66.0,82.0
Jean Onana,73,80,6.0,Midfielder,Cameroon,22,187,Lens,3-4-2-1,fr Ligue 1,1.092,1,3,3,1,1,59,66,69,71,70,81,61,64,73,74,55,77,87,68,77,64,74,54,76,0,0,0,0,0,74.0,58.5
Caoimhin Kelleher,73,80,5.0,Goalkeeper,Republic of Ireland,23,188,Liverpool,4-3-3,eng Premier League,2.08,1,3,0,1,1,0,71,74,0,0,70,0,0,0,0,48,56,60,0,0,0,42,0,63,72,71,74,70,76,0.0,0.0
Abdou Harroui,73,77,4.0,Midfielder,Morocco,24,182,Sassuolo,4-2-3-1,it Serie A,1.04,1,5,3,1,1,74,68,70,75,67,75,66,57,76,77,70,76,73,74,68,68,74,45,72,0,0,0,0,0,71.0,74.0
Omar Richards,73,78,4.3,Full Back,England,24,174,Nott'ham Forest,4-2-3-1,eng Premier League,1.82,0,2,3,1,1,75,46,60,73,69,63,56,53,71,74,80,43,48,31,77,56,54,36,62,0,0,0,0,0,60.5,75.5
Ozan Kabak,73,80,5.5,Defender,Turkey,22,186,Hoffenheim,3-5-2,de Bundesliga,1.04,1,3,2,2,1,67,36,53,65,71,80,35,73,62,69,64,48,85,25,84,30,60,51,67,0,0,0,0,0,64.5,66.5
Josh Dasilva,73,78,4.6,Midfielder,England,23,184,Brentford,4-3-3,eng Premier League,1.612,0,3,3,2,1,76,71,72,74,65,75,68,50,75,75,74,80,79,77,74,69,73,55,75,0,0,0,0,0,75.5,76.0
Stanley Nsoki,73,79,4.4,Defender,France,23,184,Hoffenheim,3-5-2,de Bundesliga,1.04,0,2,2,1,1,73,38,62,67,73,77,34,75,68,67,65,47,80,36,75,55,63,37,66,0,0,0,0,0,66.5,73.0
Leandro Barreiro Martins,73,79,4.9,Midfielder,Luxembourg,22,174,Mainz 05,3-5-2,de Bundesliga,0.988,1,3,3,1,2,75,58,67,77,70,64,61,49,76,77,91,57,44,55,76,60,70,47,64,0,0,0,0,0,73.0,75.0
Alberto Perea Correoso,73,73,2.5,Midfielder,Spain,31,177,Granada,4-3-3,es La Liga,0.52,1,3,3,1,1,73,69,70,77,35,59,70,59,78,79,68,67,58,73,59,74,68,55,71,0,0,0,0,0,69.5,72.5
Valère Germain,73,73,2.5,Forward,France,32,181,Montpellier,4-3-3,fr Ligue 1,1.092,1,4,3,1,1,65,73,70,72,39,65,73,75,70,75,69,74,61,71,61,77,71,75,69,0,0,0,0,0,69.0,64.5
Jaka Bijol,73,79,4.4,Defender,Slovenia,23,190,Udinese,3-5-2,it Serie A,0.572,1,3,2,1,1,65,59,65,61,73,78,57,78,60,65,51,71,84,53,68,53,66,53,69,0,0,0,0,0,74.5,64.5
Luca Netz,73,85,7.0,Full Back,Germany,19,184,Borussia M.Gladbach,4-2-3-1,de Bundesliga,0.572,0,3,2,1,1,76,44,65,69,70,62,42,57,68,69,71,49,60,38,67,64,57,49,62,0,0,0,0,0,65.0,76.0
Mergim Berisha,73,78,4.7,Forward,Germany,24,188,Augsburg,4-4-2,de Bundesliga,2.236,1,3,3,2,1,73,75,72,72,37,72,73,70,72,75,63,78,74,75,67,75,73,76,72,0,0,0,0,0,70.0,73.0
Unai García Lugea,73,73,2.5,Defender,Spain,29,186,Osasuna,4-4-2,es La Liga,1.092,0,3,2,1,2,52,41,60,54,74,74,39,73,45,68,57,57,73,31,67,39,51,42,63,0,0,0,0,0,68.0,51.5
Morten Hjulmand,73,81,6.5,Midfielder,Denmark,23,185,Lecce,4-3-3,it Serie A,0.572,1,3,3,1,2,60,53,70,67,67,76,49,49,68,70,59,62,73,58,75,59,73,47,67,0,0,0,0,0,73.5,59.5
Luís Hernández Rodríguez,73,73,1.5,Defender,Spain,33,183,Cadiz,4-4-2,es La Liga,1.092,1,4,2,1,2,64,50,63,64,73,75,37,67,59,68,68,70,78,55,70,55,55,54,69,0,0,0,0,0,67.5,63.5
Patrick Herrmann,73,73,2.5,Midfielder,Germany,31,179,Borussia M.Gladbach,4-2-3-1,de Bundesliga,1.144,1,3,3,1,2,71,72,72,75,34,60,71,54,75,75,74,75,56,75,58,71,70,62,68,0,0,0,0,0,70.0,71.0
Jacob Bruun Larsen,73,78,4.6,Winger,Denmark,23,183,Hoffenheim,3-5-2,de Bundesliga,1.3,1,4,3,1,1,85,70,69,73,55,66,72,58,72,74,72,76,69,62,68,73,66,62,66,0,0,0,0,0,69.5,85.0
Ibrahima Niane,73,78,4.7,Forward,Senegal,23,187,Metz,3-4-3,fr Ligue 1,0.416,1,3,3,2,0,83,74,54,72,20,64,75,75,74,70,56,79,72,70,36,74,54,71,67,0,0,0,0,0,51.0,83.0
Domingos André Ribeiro Almeida,73,81,7.0,Midfielder,Portugal,22,176,Valencia,4-4-2,es La Liga,1.144,1,3,3,1,0,72,62,69,78,62,63,55,49,79,78,79,75,51,69,67,69,70,53,73,0,0,0,0,0,72.0,72.5
Mouctar Diakhaby,73,78,4.0,Defender,Guinea,25,189,Valencia,4-4-2,es La Liga,1.144,1,3,2,1,1,55,39,54,58,74,75,36,79,56,60,43,51,79,29,74,47,59,49,69,0,0,0,0,0,63.5,55.0
Rayan Cherki,73,88,7.0,Winger,France,18,176,Lyon,4-3-3,fr Ligue 1,0.988,0,5,5,2,0,70,67,68,82,21,59,64,28,86,79,83,76,65,66,57,69,68,61,75,0,0,0,0,0,64.0,70.5
Leo Østigård,73,82,6.5,Defender,Norway,22,185,Napoli,4-3-3,it Serie A,1.456,1,3,2,1,2,68,37,50,61,71,81,33,74,58,61,61,52,84,32,86,35,34,42,58,0,0,0,0,0,58.5,68.0
Marcos André de Sousa Mendonça,73,76,4.099999,Forward,Brazil,25,184,Valencia,4-4-2,es La Liga,1.404,1,4,3,2,0,73,75,60,71,38,71,74,74,72,73,69,79,77,77,62,77,60,61,65,0,0,0,0,0,63.0,73.5
Sinaly Diomande,73,81,6.5,Defender,Côte d'Ivoire,21,184,Lyon,4-3-3,fr Ligue 1,1.456,1,3,2,1,1,65,46,62,61,72,75,39,75,57,64,57,68,78,47,76,39,59,45,73,0,0,0,0,0,69.0,64.5
Bouna Sarr,73,73,2.6,Full Back,Senegal,30,178,Bayern Munich,4-2-3-1,de Bundesliga,1.872,1,3,3,1,1,74,70,72,74,66,69,67,65,75,73,75,78,63,69,73,74,71,67,72,0,0,0,0,0,72.5,74.5
Eddie Nketiah,73,80,6.0,Forward,England,23,180,Arsenal,4-2-3-1,eng Premier League,2.652,1,3,3,2,1,81,71,55,75,24,61,75,66,75,74,72,72,59,60,52,76,58,68,68,0,0,0,0,0,56.0,81.5
Romain Del Castillo,73,74,3.6,Midfielder,France,26,172,Brest,4-4-2,fr Ligue 1,0.988,0,3,3,1,1,74,67,71,77,39,64,65,63,77,76,81,73,62,66,66,70,75,68,71,0,0,0,0,0,69.0,74.5
Neeskens Kebano,73,73,2.9,Midfielder,Congo DR,30,170,Fulham,4-2-3-1,eng Premier League,2.132,1,3,3,1,1,79,67,69,76,39,57,68,52,76,74,82,66,54,66,49,68,70,68,68,0,0,0,0,0,66.5,79.0
Ben Pearson,73,73,2.9,Midfielder,England,27,176,Bournemouth,4-2-3-1,eng Premier League,1.716,1,3,3,1,2,65,49,64,69,68,81,46,53,68,72,78,63,75,43,91,57,65,42,67,0,0,0,0,0,73.0,65.0
Kevin Strootman,73,73,2.4,Midfielder,Netherlands,32,186,Genoa,3-5-2,it Serie A,1.456,0,3,2,0,1,46,68,72,70,71,75,62,68,67,78,66,77,76,75,80,69,70,72,74,0,0,0,0,0,73.5,45.5
Milan Badelj,73,73,1.5,Midfielder,Croatia,33,186,Genoa,3-5-2,it Serie A,0.26,1,4,3,1,1,50,63,72,70,70,74,54,66,70,75,62,72,71,74,74,62,72,68,68,0,0,0,0,0,74.5,50.5
Scott McKenna,73,78,4.0,Defender,Scotland,25,189,Nott'ham Forest,4-2-3-1,eng Premier League,1.976,0,3,2,1,2,57,32,46,51,72,82,22,74,45,58,61,59,88,32,85,16,31,36,60,0,0,0,0,0,57.5,56.5
