,player,nation,position,team,formation,team_shots_per_game,team_possession,team_pass,team_aerials_won,league,age,matches,starts,minutes,goals,assists,goals_assists,penalty_goals,yellow_cards,red_cards,expected_goals,expected_assists,progressive_carries,progressive_passes,progressive_runs,goals_90min,assists_90min,goals_assists_90min
1301,Atakan Karazor,de GER,Midfielder,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,26,33,31,2623,0,4,4,0,9,0,1.0,2.6,24.0,142.0,31.0,0.0,0.14,0.14
1302,Ayman Kari,fr FRA,Midfielder,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,18,14,12,893,1,1,2,0,1,0,0.6,0.8,22.0,37.0,53.0,0.1,0.1,0.2
1303,Emir Karic,at AUT,Defender,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,26,27,18,1783,0,0,0,0,4,0,0.4,1.3,56.0,115.0,85.0,0.0,0.0,0.0
1304,Loris Karius,de GER,Goalkeeper,Newcastle United,4-3-3,10.4,41.6,76.0,17.1,eng Premier League,30,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1305,Jesper Karlsson,se SWE,Forward,Bologna,4-2-3-1,13.1,50.7,81.5,15.1,it Serie A,25,7,4,344,0,0,0,0,0,0,0.4,0.3,13.0,16.0,35.0,0.0,0.0,0.0
1306,Jon Karrikaburu,es ESP,Midfielder,Deportivo Alaves,4-4-2,9.1,44.6,72.9,22.6,es La Liga,20,2,0,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1307,Rick Karsdorp,nl NED,Defender,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,28,18,14,1191,0,2,2,0,2,0,0.4,2.2,12.0,33.0,71.0,0.0,0.15,0.15
1308,Grigoris Kastanos,cy CYP,Midfielder,Salernitana,3-5-2,8.1,47.1,78.3,15.6,it Serie A,25,26,18,1480,3,3,6,0,5,0,2.9,2.8,28.0,78.0,69.0,0.18,0.18,0.36
1309,Silas Katompa,cd COD,Forward,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,24,27,8,900,5,2,7,0,0,0,5.7,2.3,49.0,25.0,130.0,0.5,0.2,0.7
1310,Panos Katseris,gr GRE,Defender,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,22,15,13,1041,1,1,2,0,4,0,2.1,0.8,24.0,21.0,86.0,0.09,0.09,0.17
1311,Mikkel Kaufmann,dk DEN,Forward,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,22,18,4,486,1,0,1,0,0,0,1.3,1.0,6.0,11.0,34.0,0.19,0.0,0.19
1312,Michael Kayode,it ITA,Defender,Fiorentina,4-3-3,9.8,46.8,81.0,14.2,it Serie A,19,26,22,2058,1,1,2,0,2,0,0.5,1.1,45.0,80.0,102.0,0.04,0.04,0.09
1313,Moise Kean,it ITA,Forward,Juventus,3-5-2,15.7,55.4,88.3,11.4,it Serie A,23,19,8,654,0,0,0,0,2,0,2.1,0.7,12.0,6.0,38.0,0.0,0.0,0.0
1314,Michael Keane,eng ENG,Defender,Everton,4-4-2,10.5,47.3,81.4,17.7,eng Premier League,30,9,4,439,1,0,1,0,2,0,0.7,0.0,4.0,14.0,3.0,0.21,0.0,0.21
1315,Ibrahima Kebe,ml MLI,Midfielder,Girona,3-5-2,6.8,58.9,88.7,8.6,es La Liga,22,2,0,9,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1316,Kévin Keben Biakolo,cm CMR,Defender,Toulouse,4-2-3-1,9.1,46.1,79.1,14.6,fr Ligue 1,19,8,7,521,0,0,0,0,1,0,0.0,0.1,5.0,13.0,10.0,0.0,0.0,0.0
1317,Yassine Kechta,ma MAR,Midfielder,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,21,32,21,1849,2,1,3,0,4,0,1.6,2.2,41.0,122.0,67.0,0.1,0.05,0.15
1319,Thilo Kehrer,de GER,Defender,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,26,15,15,1323,1,1,2,0,4,1,0.7,1.1,13.0,90.0,16.0,0.07,0.07,0.14
1320,Habib Keita,ml MLI,Midfielder,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,21,27,12,1278,1,0,1,0,4,0,0.7,0.6,9.0,53.0,23.0,0.07,0.0,0.07
1321,Naby Keïta,gn GUI,Midfielder,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,28,5,1,109,0,0,0,0,2,0,0.1,0.0,1.0,13.0,4.0,0.0,0.0,0.0
1322,Yannik Keitel,de GER,Defender,Freiburg,3-4-3,11.4,47.5,78.1,17.5,de Bundesliga,23,15,11,920,1,0,1,0,0,0,0.7,0.4,4.0,48.0,7.0,0.1,0.0,0.1
1323,Caoimhín Kelleher,ie IRL,Goalkeeper,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,24,10,10,900,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1324,Thomas Keller,de GER,Midfielder,Heidenheim,4-4-2,6.0,42.5,76.3,17.0,de Bundesliga,23,2,0,2,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1325,Lloyd Kelly,eng ENG,Defender,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,24,23,17,1559,0,1,1,0,2,0,0.3,1.2,15.0,56.0,28.0,0.0,0.06,0.06
1326,Omari Kellyman,eng ENG,Forward,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,17,2,0,37,0,0,0,0,0,0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1327,Aljoscha Kemlein,de GER,Midfielder,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,18,2,0,29,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1328,Tobias Kempe,de GER,Midfielder,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,34,24,15,1350,3,2,5,3,1,0,3.6,2.1,15.0,44.0,46.0,0.2,0.13,0.33
1329,Milos Kerkez,hu HUN,Defender,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,19,28,22,1970,0,1,1,0,4,1,1.2,0.8,46.0,44.0,93.0,0.0,0.05,0.05
1330,Kaine Kesler-Hayden,eng ENG,Midfielder,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,20,3,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1331,Reda Khadra,de GER,Forward,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,22,29,14,1368,1,3,4,0,1,0,1.8,3.5,35.0,40.0,110.0,0.07,0.2,0.26
1332,Wahbi Khazri,tn TUN,Forward,Montpellier,4-3-3,12.2,46.4,78.8,17.9,fr Ligue 1,32,25,13,1131,1,0,1,0,6,0,3.3,1.2,27.0,33.0,76.0,0.08,0.0,0.08
1333,Rani Khedira,de GER,Midfielder,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,29,20,18,1343,0,0,0,0,5,1,0.4,0.1,6.0,35.0,15.0,0.0,0.0,0.0
1334,Abdukodir Khusanov,uz UZB,Defender,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,19,11,9,809,0,0,0,0,5,0,0.2,0.1,5.0,23.0,1.0,0.0,0.0,0.0
1335,Kiké,es ESP,Forward,Deportivo Alaves,4-4-2,9.1,44.6,72.9,22.6,es La Liga,33,33,15,1423,3,2,5,0,3,0,7.7,2.0,18.0,32.0,97.0,0.19,0.13,0.32
1336,Luca Kilian,de GER,Defender,FC Koln,4-2-3-1,10.6,47.1,77.3,18.5,de Bundesliga,23,13,6,635,0,0,0,0,1,0,0.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0
1337,Max Kilman,eng ENG,Defender,Wolverhampton Wanderers,3-4-3,12.2,49.7,83.2,15.3,eng Premier League,26,38,38,3420,2,0,2,0,7,0,1.8,1.4,22.0,117.0,5.0,0.05,0.0,0.05
1338,Joshua Kimmich,de GER,Midfielder,Bayern Munich,4-2-3-1,17.1,58.1,85.5,12.9,de Bundesliga,28,28,27,2176,1,6,7,0,1,1,1.1,7.1,56.0,229.0,114.0,0.04,0.25,0.29
1339,Jakub Kiwior,pl POL,Defender,Arsenal,4-2-3-1,12.1,52.7,85.0,13.5,eng Premier League,23,20,11,946,1,3,4,0,1,0,0.8,0.9,4.0,55.0,16.0,0.1,0.29,0.38
1340,Simon Kjær,dk DEN,Defender,AC Milan,4-2-3-1,14.7,51.4,84.0,15.2,it Serie A,34,20,14,1171,0,1,1,0,1,0,0.5,0.8,4.0,52.0,0.0,0.0,0.08,0.08
1341,Davy Klaassen,nl NED,Midfielder,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,30,13,1,206,0,0,0,0,1,0,0.1,0.2,1.0,7.0,5.0,0.0,0.0,0.0
1342,Christoph Klarer,at AUT,Defender,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,23,30,28,2354,2,2,4,0,9,0,1.2,0.9,9.0,64.0,11.0,0.08,0.08,0.15
1343,Tim Kleindienst,de GER,Forward,Heidenheim,4-4-2,6.0,42.5,76.3,17.0,de Bundesliga,27,33,33,2869,12,3,15,2,6,0,13.9,3.3,40.0,73.0,178.0,0.38,0.09,0.47
1344,Lukas Klostermann,de GER,Defender,RB Leipzig,3-4-3,16.0,57.3,83.2,18.6,de Bundesliga,27,25,16,1436,1,0,1,0,3,0,0.7,0.4,14.0,90.0,13.0,0.06,0.0,0.06
1345,Justin Kluivert,nl NED,Midfielder,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,24,32,26,1916,7,1,8,0,5,0,6.2,1.9,65.0,50.0,114.0,0.33,0.05,0.38
1346,Ansgar Knauff,de GER,Midfielder,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,21,31,24,2109,7,2,9,0,7,1,5.7,2.3,77.0,57.0,164.0,0.3,0.09,0.38
1347,Robin Knoche,de GER,Defender,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,31,24,20,1917,1,0,1,0,1,0,1.2,0.3,2.0,71.0,2.0,0.05,0.0,0.05
1348,Gregor Kobel,ch SUI,Goalkeeper,Borussia Dortmund,4-2-3-1,14.6,57.5,85.5,12.8,de Bundesliga,25,27,27,2365,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,Robin Koch,de GER,Defender,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,27,31,31,2738,2,0,2,0,10,0,3.1,0.2,14.0,116.0,3.0,0.07,0.0,0.07
1350,Philipp Köhn,ch SUI,Goalkeeper,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,25,22,22,1980,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,Dominik Kohr,de GER,Defender,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,29,31,27,2184,1,0,1,0,15,1,1.6,1.2,19.0,99.0,26.0,0.04,0.0,0.04
1352,Koke,es ESP,Midfielder,Atletico Madrid,5-3-2,12.1,51.8,83.1,14.4,es La Liga,31,35,32,2493,0,4,4,0,5,0,0.4,3.6,26.0,212.0,26.0,0.0,0.14,0.14
1353,Sead Kolašinac,ba BIH,Defender,Atalanta,3-4-2-1,16.3,53.5,83.5,16.8,it Serie A,30,30,25,2178,1,0,1,0,4,0,1.3,1.1,32.0,94.0,30.0,0.04,0.0,0.04
1354,Luca Koleosho,it ITA,Midfielder,Burnley,4-4-2,10.1,43.5,71.6,23.4,eng Premier League,18,15,13,974,1,1,2,0,0,0,2.0,1.3,53.0,19.0,82.0,0.09,0.09,0.18
1356,Randal Kolo Muani,fr FRA,Forward,Eintracht Frankfurt,3-4-2-1,13.2,52.4,79.6,17.9,de Bundesliga,24,2,2,153,1,0,1,0,0,0,1.3,0.0,6.0,3.0,9.0,0.59,0.0,0.59
1357,Mert Kömür,de GER,Midfielder,Augsburg,4-4-2,9.9,44.0,73.6,16.8,de Bundesliga,18,4,1,118,1,0,1,0,0,0,0.2,0.0,7.0,4.0,9.0,0.76,0.0,0.76
1358,Cheick Konaté,ml MLI,Defender,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,19,19,12,1068,1,1,2,0,4,0,0.5,1.6,22.0,37.0,86.0,0.08,0.08,0.17
1359,Ibrahima Konaté,fr FRA,Defender,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,24,22,17,1574,0,0,0,0,5,1,0.7,0.4,24.0,118.0,3.0,0.0,0.0,0.0
1360,Geoffrey Kondogbia,cf CTA,Midfielder,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,30,26,15,1463,0,0,0,0,3,0,0.4,0.5,7.0,93.0,25.0,0.0,0.0,0.0
1361,Abdoul Koné,fr FRA,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,18,3,3,193,0,0,0,0,1,0,0.0,0.7,3.0,5.0,1.0,0.0,0.0,0.0
1362,Amadou Koné,ml MLI,Midfielder,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,18,16,4,475,0,0,0,0,4,1,0.3,0.2,2.0,28.0,2.0,0.0,0.0,0.0
1364,Ibrahima Koné,ml MLI,Forward,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,24,1,0,32,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1365,Manu Koné,fr FRA,Midfielder,Borussia M.Gladbach,4-2-3-1,13.4,51.5,82.0,15.3,de Bundesliga,22,22,18,1561,1,0,1,0,4,1,1.2,1.2,42.0,70.0,56.0,0.06,0.0,0.06
1366,Ezri Konsa,eng ENG,Defender,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,25,35,35,3069,1,0,1,0,5,0,2.5,0.5,37.0,136.0,33.0,0.03,0.0,0.03
1367,Teun Koopmeiners,nl NED,Midfielder,Atalanta,3-4-2-1,16.3,53.5,83.5,16.8,it Serie A,25,34,29,2627,12,5,17,2,5,0,6.5,5.9,79.0,169.0,190.0,0.41,0.17,0.58
1368,Odilon Kossonou,ci CIV,Defender,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,22,22,21,1811,1,0,1,0,3,0,0.6,0.7,48.0,141.0,23.0,0.05,0.0,0.05
1369,Filip Kostić,rs SRB,Defender,Juventus,3-5-2,15.7,55.4,88.3,11.4,it Serie A,30,29,26,1815,0,4,4,0,2,0,0.7,5.4,64.0,88.0,95.0,0.0,0.2,0.2
1370,Christian Kouamé,ci CIV,Forward,Fiorentina,4-3-3,9.8,46.8,81.0,14.2,it Serie A,25,23,11,1089,2,1,3,0,0,0,1.9,1.8,12.0,41.0,110.0,0.17,0.08,0.25
1371,Rominigue Kouamé,ml MLI,Midfielder,Cadiz,4-4-2,8.0,38.5,68.8,18.5,es La Liga,26,16,9,821,0,0,0,0,2,0,0.3,0.1,16.0,34.0,5.0,0.0,0.0,0.0
1372,Koffi Kouao,ci CIV,Defender,Metz,3-4-3,11.5,46.9,79.8,16.1,fr Ligue 1,25,13,10,860,0,2,2,0,2,0,0.2,1.5,10.0,29.0,29.0,0.0,0.21,0.21
1373,Tomáš Koubek,cz CZE,Goalkeeper,Augsburg,4-4-2,9.9,44.0,73.6,16.8,de Bundesliga,30,3,3,270,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374,Therence Koudou,fr FRA,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,18,9,3,314,0,0,0,0,3,0,0.1,0.3,8.0,14.0,21.0,0.0,0.0,0.0
1375,Jules Koundé,fr FRA,Defender,Barcelona,4-3-3,15.3,62.4,89.7,10.6,es La Liga,24,35,32,2899,1,2,3,0,4,0,2.0,2.2,67.0,245.0,64.0,0.03,0.06,0.09
1376,Boubakar Kouyaté,ml MLI,Defender,Montpellier,4-3-3,12.2,46.4,78.8,17.9,fr Ligue 1,26,23,22,1928,0,2,2,0,5,1,0.8,1.3,4.0,58.0,3.0,0.0,0.09,0.09
1377,Cheikhou Kouyaté,sn SEN,Midfielder,Nott'ham Forest,4-2-3-1,11.1,41.6,78.3,15.2,eng Premier League,33,12,2,212,0,0,0,0,2,0,0.3,0.0,0.0,5.0,5.0,0.0,0.0,0.0
1378,Mateo Kovačić,hr CRO,Midfielder,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,29,30,16,1551,1,0,1,0,4,0,1.3,1.6,37.0,100.0,38.0,0.06,0.0,0.06
1379,Viktor Kovalenko,ua UKR,Midfielder,Empoli,3-5-2,9.1,47.1,75.7,14.1,it Serie A,27,17,4,613,1,1,2,0,1,0,0.9,0.8,4.0,20.0,24.0,0.15,0.15,0.29
1380,Matej Kovar,cz CZE,Goalkeeper,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,23,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1381,Dawid Kownacki,pl POL,Forward,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,26,22,3,380,0,0,0,0,0,0,1.3,0.4,5.0,10.0,26.0,0.0,0.0,0.0
1382,Emil Krafth,se SWE,Defender,Newcastle United,4-3-3,10.4,41.6,76.0,17.1,eng Premier League,28,17,8,913,0,0,0,0,2,0,0.2,1.0,12.0,29.0,33.0,0.0,0.0,0.0
1383,Alex Král,cz CZE,Midfielder,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,25,24,13,1370,0,0,0,0,2,0,1.7,0.4,15.0,44.0,41.0,0.0,0.0,0.0
1384,Andrej Kramarić,hr CRO,Midfielder,Hoffenheim,3-5-2,12.6,50.8,80.7,15.7,de Bundesliga,32,30,25,2199,15,6,21,5,4,0,11.1,7.3,71.0,119.0,175.0,0.61,0.25,0.86
1385,Christoph Kramer,de GER,Midfielder,Borussia M.Gladbach,4-2-3-1,13.4,51.5,82.0,15.3,de Bundesliga,32,14,1,249,0,0,0,0,4,0,0.1,0.1,10.0,17.0,8.0,0.0,0.0,0.0
1386,Frans Krätzig,de GER,Defender,Bayern Munich,4-2-3-1,17.1,58.1,85.5,12.9,de Bundesliga,20,4,0,56,0,0,0,0,0,0,0.3,0.3,0.0,7.0,7.0,0.0,0.0,0.0
1387,Tom Krauß,de GER,Midfielder,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,22,29,13,1346,1,2,3,0,5,0,0.8,0.4,12.0,68.0,29.0,0.07,0.13,0.2
1388,Rasmus Kristensen,dk DEN,Defender,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,26,29,19,1744,1,1,2,0,5,0,0.5,0.9,16.0,40.0,115.0,0.05,0.05,0.1
1389,Thomas Kristensen,dk DEN,Defender,Udinese,3-5-2,10.9,47.2,82.5,13.1,it Serie A,21,26,23,2096,0,1,1,0,4,1,1.1,0.4,20.0,47.0,3.0,0.0,0.04,0.04
1390,Toni Kroos,de GER,Midfielder,Real Madrid,4-3-3,14.4,57.7,87.7,11.8,es La Liga,33,33,24,2124,1,8,9,0,3,0,1.6,4.9,32.0,290.0,29.0,0.04,0.34,0.38
1391,Nikola Krstović,me MNE,Forward,Lecce,4-3-3,9.7,43.7,79.9,16.8,it Serie A,23,35,30,2373,7,1,8,1,4,1,11.6,3.0,32.0,52.0,126.0,0.27,0.04,0.3
1392,Rade Krunić,ba BIH,Midfielder,AC Milan,4-2-3-1,14.7,51.4,84.0,15.2,it Serie A,29,10,8,687,0,0,0,0,3,0,0.1,0.5,5.0,24.0,3.0,0.0,0.0,0.0
1393,Lukas Kübler,de GER,Defender,Freiburg,3-4-3,11.4,47.5,78.1,17.5,de Bundesliga,30,26,22,1847,1,0,1,0,7,0,0.6,0.3,13.0,70.0,32.0,0.05,0.0,0.05
1394,Takefusa Kubo,jp JPN,Forward,Real Sociedad,4-3-3,11.3,53.7,80.8,17.9,es La Liga,22,30,24,2150,7,4,11,0,1,0,3.5,6.4,136.0,89.0,231.0,0.29,0.17,0.46
1395,Mahmut Kücüksahin,Turkey,Midfielder,Augsburg,4-4-2,9.9,44.0,73.6,16.8,de Bundesliga,19,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1396,Mohammed Kudus,gh GHA,Forward,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,22,33,27,2484,8,6,14,0,6,0,5.1,3.5,117.0,80.0,216.0,0.29,0.22,0.51
1397,Christian Kühlwetter,de GER,Midfielder,Heidenheim,4-4-2,6.0,42.5,76.3,17.0,de Bundesliga,27,1,0,8,0,1,1,0,0,0,0.0,0.6,1.0,0.0,0.0,0.0,11.25,11.25
1398,Dejan Kulusevski,se SWE,Forward,Tottenham,3-4-2-1,11.7,51.3,81.8,16.4,eng Premier League,23,36,31,2762,8,3,11,0,7,0,4.7,7.7,151.0,144.0,388.0,0.26,0.1,0.36
1399,Sael Kumbedi,fr FRA,Defender,Lyon,4-3-3,16.1,53.6,84.7,14.3,fr Ligue 1,18,17,8,924,0,1,1,0,3,0,0.2,0.7,19.0,42.0,75.0,0.0,0.1,0.1
1400,Marash Kumbulla,al ALB,Defender,Sassuolo,4-2-3-1,13.9,58.2,87.8,10.9,it Serie A,23,7,3,362,0,0,0,0,1,0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
1401,Justin Kumi,it ITA,Forward,Sassuolo,4-2-3-1,13.9,58.2,87.8,10.9,it Serie A,19,1,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1402,Layvin Kurzawa,fr FRA,Defender,Paris Saint-Germain,4-3-3,15.0,60.1,89.5,9.5,fr Ligue 1,30,1,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1403,Berkan Kutlu,tr TUR,Midfielder,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,25,6,0,199,0,0,0,0,0,0,0.2,0.3,4.0,5.0,9.0,0.0,0.0,0.0
1404,Daler Kuzyaev,ru RUS,Midfielder,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,30,30,24,2090,2,2,4,0,1,0,1.8,1.3,23.0,119.0,97.0,0.09,0.09,0.17
1405,Khvicha Kvaratskhelia,ge GEO,Forward,Napoli,4-3-3,17.0,54.1,87.0,11.1,it Serie A,22,34,32,2737,11,6,17,0,8,0,11.1,6.8,184.0,89.0,266.0,0.36,0.2,0.56
1406,Giorgi Kvernadze,ge GEO,Forward,Frosinone,3-5-2,11.1,40.0,75.7,14.1,it Serie A,20,5,0,63,0,0,0,0,0,0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
1407,Moritz-Broni Kwarteng,gh GHA,Forward,Bochum,4-4-2,7.0,41.8,73.4,20.4,de Bundesliga,25,11,2,281,0,1,1,0,1,1,1.0,0.5,8.0,6.0,24.0,0.0,0.32,0.32
1408,Grejohn Kyei,fr FRA,Forward,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,27,26,10,1026,2,1,3,1,1,0,4.9,1.2,12.0,30.0,85.0,0.18,0.09,0.26
1409,Giorgos Kyriakopoulos,gr GRE,Defender,Monza,3-4-2-1,10.1,47.4,82.4,18.1,it Serie A,27,28,20,1712,0,3,3,0,3,0,1.2,1.4,64.0,70.0,94.0,0.0,0.16,0.16
1410,Luca de la Torre,us USA,Midfielder,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,25,31,22,1956,1,4,5,0,4,1,2.5,1.4,58.0,93.0,88.0,0.05,0.18,0.23
1411,Gaëtan Laborde,fr FRA,Forward,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,29,34,22,1906,5,2,7,1,2,0,7.7,1.8,33.0,46.0,161.0,0.24,0.09,0.33
1412,Alexandre Lacazette,fr FRA,Forward,Lyon,4-3-3,16.1,53.6,84.7,14.3,fr Ligue 1,32,29,27,2293,19,2,21,2,3,1,11.4,1.9,22.0,61.0,144.0,0.75,0.08,0.82
1413,Maxence Lacroix,fr FRA,Defender,Wolfsburg,4-2-3-1,14.1,51.0,78.0,16.9,de Bundesliga,23,28,27,2362,4,1,5,0,5,3,0.8,0.8,5.0,79.0,5.0,0.15,0.04,0.19
1414,Alban Lafont,fr FRA,Goalkeeper,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,24,28,28,2496,0,0,0,0,2,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1415,Yoel Lago,es ESP,Defender,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,19,1,1,90,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1416,Aïssa Laïdouni,tn TUN,Midfielder,Union Berlin,3-5-2,11.7,45.9,76.2,17.6,de Bundesliga,26,23,10,1071,0,3,3,0,2,0,0.7,1.0,24.0,56.0,41.0,0.0,0.25,0.25
1417,Konrad Laimer,at AUT,Defender,Bayern Munich,4-2-3-1,17.1,58.1,85.5,12.9,de Bundesliga,26,29,18,1772,0,3,3,0,3,0,1.0,3.9,62.0,127.0,98.0,0.0,0.15,0.15
1418,Stefan Lainer,at AUT,Defender,Borussia M.Gladbach,4-2-3-1,13.4,51.5,82.0,15.3,de Bundesliga,30,15,8,751,0,1,1,0,2,0,0.2,0.7,15.0,37.0,31.0,0.0,0.12,0.12
1419,Kenny Lala,mg MAD,Defender,Brest,4-4-2,11.8,49.4,81.3,18.6,fr Ligue 1,31,33,33,2970,2,3,5,0,7,0,0.5,3.3,45.0,200.0,98.0,0.06,0.09,0.15
1420,Adam Lallana,eng ENG,Midfielder,Brighton,3-4-3,12.8,50.7,81.3,14.2,eng Premier League,35,25,13,850,0,1,1,0,2,0,0.8,1.7,9.0,39.0,55.0,0.0,0.11,0.11
1421,Mathis Lambourde,fr FRA,Forward,Rennes,4-2-3-1,13.5,56.8,85.6,16.9,fr Ligue 1,17,1,0,10,0,0,0,0,0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
1422,Érik Lamela,ar ARG,Forward,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,31,13,5,463,2,0,2,0,3,0,1.0,1.0,11.0,17.0,28.0,0.39,0.0,0.39
1423,Mohamed Lamine Bayo,gn GUI,Forward,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,25,22,16,1389,5,1,6,2,4,0,7.2,0.6,18.0,20.0,115.0,0.32,0.06,0.39
1424,Didier Lamkel Zé,cm CMR,Forward,Metz,3-4-3,11.5,46.9,79.8,16.1,fr Ligue 1,26,9,7,550,1,0,1,0,1,0,1.6,0.9,15.0,19.0,23.0,0.16,0.0,0.16
1425,Tariq Lamptey,gh GHA,Defender,Brighton,3-4-3,12.8,50.7,81.3,14.2,eng Premier League,22,19,10,914,0,3,3,0,3,0,0.4,1.2,39.0,17.0,64.0,0.0,0.3,0.3
1426,Bruno Langa,mz MOZ,Defender,Almería,4-4-2,8.1,44.1,77.1,13.8,es La Liga,25,11,9,820,1,0,1,0,1,1,0.2,0.4,14.0,25.0,30.0,0.11,0.0,0.11
